fl_date,mkt_unique_carrier,branded_code_share,mkt_carrier,mkt_carrier_fl_num,op_unique_carrier,tail_num,op_carrier_fl_num,origin_airport_id,origin,origin_city_name,dest_airport_id,dest,dest_city_name,crs_dep_time,dep_time,dep_delay,taxi_out,wheels_off,wheels_on,taxi_in,crs_arr_time,arr_time,arr_delay,cancelled,cancellation_code,diverted,dup,crs_elapsed_time,actual_elapsed_time,air_time,flights,distance,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay,first_dep_time,total_add_gtime,longest_add_gtime,no_name,orig_weather_categ,dest_weather_categ
2019-12-13,AA,AA,AA,1976,AA,N881NN,1976,11057,CLT,"Charlotte, NC",15096,SYR,"Syracuse, NY",2210,2307.0,57.0,15.0,2322.0,38.0,5.0,2357,43.0,46.0,0.0,,0.0,N,107.0,96.0,76.0,1.0,603.0,2.0,0.0,0.0,0.0,44.0,,,,,rain,rain
2018-02-26,DL,DL,DL,94,DL,N594NW,94,11433,DTW,"Detroit, MI",10397,ATL,"Atlanta, GA",1805,1757.0,-8.0,26.0,1823.0,1956.0,11.0,2014,2007.0,-7.0,0.0,,0.0,N,129.0,130.0,93.0,1.0,594.0,,,,,,,,,,sunny,rain
2018-12-17,DL,DL_CODESHARE,DL,3817,OO,N913EV,3817,10397,ATL,"Atlanta, GA",15323,TRI,"Bristol/Johnson City/Kingsport, TN",2232,2227.0,-5.0,24.0,2251.0,2333.0,6.0,2340,2339.0,-1.0,0.0,,0.0,N,68.0,72.0,42.0,1.0,227.0,,,,,,,,,,sunny,cloudy
2019-01-27,B6,B6,B6,494,B6,N547JB,494,11292,DEN,"Denver, CO",10721,BOS,"Boston, MA",1033,1031.0,-2.0,16.0,1047.0,1601.0,3.0,1621,1604.0,-17.0,0.0,,0.0,N,228.0,213.0,194.0,1.0,1754.0,,,,,,,,,,sunny,sunny
2018-03-05,AA,AA,AA,2776,AA,N555AN,2776,11298,DFW,"Dallas/Fort Worth, TX",13851,OKC,"Oklahoma City, OK",1830,1842.0,12.0,14.0,1856.0,1925.0,3.0,1927,1928.0,1.0,0.0,,0.0,N,57.0,46.0,29.0,1.0,175.0,,,,,,,,,,cloudy,sunny
2019-05-03,AS,AS_CODESHARE,AS,2433,QX,N627QX,2433,10620,BIL,"Billings, MT",14747,SEA,"Seattle, WA",745,752.0,7.0,16.0,808.0,859.0,4.0,850,903.0,13.0,0.0,,0.0,N,125.0,131.0,111.0,1.0,664.0,,,,,,,,,,sunny,cloudy
2019-08-05,AA,AA,AA,850,AA,N122NN,850,11298,DFW,"Dallas/Fort Worth, TX",12892,LAX,"Los Angeles, CA",712,805.0,53.0,12.0,817.0,852.0,16.0,836,908.0,32.0,0.0,,0.0,N,204.0,183.0,155.0,1.0,1235.0,32.0,0.0,0.0,0.0,0.0,,,,,sunny,sunny
2019-03-24,WN,WN,WN,3276,WN,N8540V,3276,11292,DEN,"Denver, CO",14492,RDU,"Raleigh/Durham, NC",1325,1322.0,-3.0,12.0,1334.0,1817.0,27.0,1830,1844.0,14.0,0.0,,0.0,N,185.0,202.0,163.0,1.0,1436.0,,,,,,,,,,sunny,sunny
2019-01-18,DL,DL_CODESHARE,DL,4179,OO,N882AS,4179,11433,DTW,"Detroit, MI",10408,ATW,"Appleton, WI",1230,1426.0,116.0,19.0,1445.0,1439.0,4.0,1303,1443.0,100.0,0.0,,0.0,N,93.0,77.0,54.0,1.0,296.0,0.0,100.0,0.0,0.0,0.0,,,,,cloudy,cloudy
2019-05-27,DL,DL_CODESHARE,DL,6221,G7,N187GJ,6221,14492,RDU,"Raleigh/Durham, NC",11618,EWR,"Newark, NJ",2033,2110.0,37.0,26.0,2136.0,2237.0,8.0,2230,2245.0,15.0,0.0,,0.0,N,117.0,95.0,61.0,1.0,416.0,9.0,0.0,0.0,0.0,6.0,,,,,sunny,sunny
