fl_date,city,count,weather_categ
2018-03-14,"Dallas/Fort Worth, TX",3,sunny
2018-11-13,"New York, NY",3,rain
2018-06-10,"Las Vegas, NV",3,sunny
2018-06-10,"Dallas/Fort Worth, TX",3,sunny
2019-05-04,"Houston, TX",3,rain
2018-03-14,"Philadelphia, PA",3,cloudy
2018-06-10,"Atlanta, GA",3,rain
2018-11-14,"Los Angeles, CA",3,sunny
2019-01-08,"Chicago, IL",3,cloudy
2019-11-07,"Chicago, IL",3,sunny
2018-06-08,"Charlotte, NC",3,sunny
2019-03-25,"Charlotte, NC",3,rain
2018-03-13,"Orlando, FL",3,sunny
2019-01-07,"Washington, DC",3,cloudy
2019-03-25,"Detroit, MI",3,sunny
2018-03-16,"Atlanta, GA",3,sunny
2019-05-03,"Boston, MA",3,rain
2019-05-03,"Atlanta, GA",3,rain
2019-11-06,"Chicago, IL",3,cloudy
2018-03-17,"Chicago, IL",3,snow
2019-01-05,"Washington, DC",3,rain
2018-11-16,"Denver, CO",3,sunny
2019-09-04,"Chicago, IL",3,cloudy
2019-09-04,"Dallas/Fort Worth, TX",3,sunny
2018-03-17,"Washington, DC",3,sunny
2018-03-18,"Dallas/Fort Worth, TX",3,rain
2018-06-05,"Milwaukee, WI",3,sunny
2018-11-13,"Atlanta, GA",3,rain
2018-10-09,"Denver, CO",3,snow
2019-09-18,"Dallas/Fort Worth, TX",3,sunny
2018-11-10,"Los Angeles, CA",3,sunny
2018-11-08,"Minneapolis, MN",3,cloudy
2018-06-16,"Seattle, WA",3,cloudy
2018-06-16,"Phoenix, AZ",3,rain
2018-03-09,"Chicago, IL",3,sunny
2018-11-09,"Cincinnati, OH",3,rain
2018-11-09,"Dallas/Fort Worth, TX",3,rain
2018-11-09,"Denver, CO",3,sunny
2018-03-09,"Houston, TX",3,cloudy
2019-03-21,"Los Angeles, CA",3,rain
2019-08-25,"Philadelphia, PA",3,sunny
2018-11-10,"Chicago, IL",3,sunny
2019-11-11,"Atlanta, GA",3,sunny
2018-06-15,"Detroit, MI",3,sunny
2018-11-10,"Dallas/Fort Worth, TX",3,sunny
2019-11-10,"New York, NY",3,sunny
2019-05-05,"Denver, CO",3,sunny
2019-08-27,"Chicago, IL",3,sunny
2019-03-22,"Los Angeles, CA",3,cloudy
2018-06-14,"Los Angeles, CA",3,sunny
2018-06-14,"Denver, CO",3,rain
2018-11-11,"Minneapolis, MN",3,cloudy
2018-06-13,"Phoenix, AZ",3,sunny
2019-01-10,"Dallas/Fort Worth, TX",3,cloudy
